med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,med_scope,ind_named_id,individual_med_named,groupings_mechanisms,local_parties,local_party_id,local_indiv_group,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,shuttle,med_type
SUD202208-26,Sudan,625,,unknown,,,,13,8,2022,Egypt; Saudi Arabia; African Union,CON_82;CON_419;IGO_87,CON_82;CON_419;IGO_87,651;670;,3,P,,,,National Congress Party; Sudanese Armed Forces,ACLED;127,,2+,1,0,,,"Meanwhile, al-Burhan-backed Sudan People’s Call initiative, led by religious Sufi leader Al-Tayeb Al-Jid, 13-14 Aug held roundtable conference gathering political figures affiliated with former ruling National Congress Party, as well as Egyptian, Saudi and African Union diplomats; political coalition Forces for Freedom and Change and grassroots network Resistance Committees boycotted event",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=80,0,M
SUD202208-27,Sudan,625,,Doha,QAT,51.5333,25.2867,16,8,2022,Qatar,CON_486,CON_486,694,1,P,,,,Sudanese Armed Forces,127,,1,1,0,,,Meeting between officials from Qatar and Sudan aimed at addressing Sudan's political crisis amid ongoing protests against military rule.,https://dohanews.co/qatar-sudan-officials-meet-as-khartoum-protests-call-for-end-to-military-rule/,0,MR
YEM202208-13,Yemen,678,,Riyadh,SAU,46.7167,24.6333,31,8,2022,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam186,Hans Grundberg,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"On 31 August, he concluded a visit to Riyadh, after meeting with Yemeni Foreign Minister Ahmed Awad BinMubarak and other Yemeni and Saudi officials.",https://www.securitycouncilreport.org/whatsinblue/2022/09/yemen-consultations-5.php,1,M
YEM202209-21,Yemen,678,,Tehran,IRN,51.3889,35.6892,3,9,2022,OSESG-Yemen; Iran (Islamic Republic of),IGO_990; NM,IGO_990; NM,; NM,2,P,indnam200,Hossein Amir Amdollahian,UN Process,,,,0,,0,,,Grundberg 3-5 Sept met Iranian FM Hossein Amir Abdollahian who reiterated Huthis’ call for lifting “blockade” and disbursing salary payments;,https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,0,MR
SUD202209-18,Sudan,625,,Khartoum,SDN,32.5,15.6,5,9,2022,United Kingdom; United States; Saudi Arabia,CON_19;CON_3;CON_419,CON_19;CON_3;CON_419,200;2;670,3,P,,,,,,,0,,0,,,"Following the collapse of the Trilateral Mechanism initiative, Saudi ambassador to Sudan Ali bin Hassan Jafar kicked off consultations with the US Ambassador to Sudan, John Godfrey, and British Ambassador, Giles Lever, to find a solution to the political impasse.",;https://allafrica.com/stories/202209010087.html,0,MR
YEM202209-22,Yemen,678,,Muscat,OMN,58.5922,23.6139,6,9,2022,Oman; OSESG-Yemen,CON_606;IGO_990,CON_606;IGO_990,698;,2,P,indnam186,Hans Grundberg,UN Process,Ansar Allah,NL,,1,1,0,,,"Yesterday (6 September) he concluded a two-day visit to Muscat, where he was expected to meet with Omani officials and Houthi chief negotiator Mohammed Abdulsalam,",https://www.securitycouncilreport.org/whatsinblue/2022/09/yemen-consultations-5.php,1,M
SUD202209-19,Sudan,625,,unknown,,,,8,9,2022,UNITAMS; UNDP,GP-85;IGO_64,;IGO_64,;,2,P,,,,Women's Group (Default),GLO-PAD,,1,,0,,,UNITAMS facilitated meetings with 55 Sudanese women from various sectors to discuss gender-related priorities for future negotiations.,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,0,MR
YEM202209-23,Yemen,678,,Riyadh,SAU,46.7167,24.6333,12,9,2022,GCC; United States,IGO_540;CON_3,IGO_540;CON_3,;2,2,P,indnam500;indnam374,Timothy Lenderking; Nayef Al-Hajraf,,,,,0,,0,,,"GCC, USA discuss peace in Yemen.",https://www.kuwaittimes.com/gcc-supports-efforts-to-stabilize-yemen/,0,MR
SUD202209-20,Sudan,625,,unknown,,,,20,9,2022,UNITAMS; Canada; France; Germany; Italy; Japan; Norway; Saudi Arabia; Spain; Sweden; Switzerland; United Arab Emirates; United Kingdom; United States; EU; Netherlands,GP-85;CON_11;CON_7;CON_2;CON_139;CON_294;CON_81;CON_419;CON_4;CON_593;CON_202;CON_591;CON_19;CON_3;IGO_5;CON_10,;CON_11;CON_7;CON_2;CON_139;CON_294;CON_81;CON_419;CON_4;CON_593;CON_202;CON_591;CON_19;CON_3;IGO_5;CON_10,;20;220;255;325;740;385;670;230;380;225;696;200;2;;210,16,P,,,Friends of Sudan,,,,0,,0,,,UNITAMS organized a meeting of the Friends of Sudan group to mobilize resources for implementing security arrangements in Darfur.,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,0,MR
SUD202209-21,Sudan,625,309,unknown,,,,22,9,2022,UNISFA,IGO_616,IGO_616,,1,P,,,Abyei Process,Sudan; South Sudan,112;113,,2+,1,0,,,"On September 22, local media reported that Sudan and South Sudan had resumed direct talks over the final status of Abyei",https://www.securitycouncilreport.org/monthly-forecast/2022-10/sudan-south-sudan-15.php,0,M
YEM202209-24,Yemen,678,,New York,USA,-73.9249,40.6943,25,9,2022,UN,IGO_49,IGO_49,,1,P,indnam61,Antonio Guterres,,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,Guterres and Alimi discuss Yemen peace at sidelines of UNGA.,https://www.arabnews.com/node/2169001/middle-east,0,MR
YEM202209-25,Yemen,678,,Riyadh,SAU,46.7167,24.6333,26,9,2022,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam186,Hans Grundberg,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"Grundberg visited Riyadh on 26 September, meeting with the President of Yemen’s Presidential Leadership Council (PLC) Rashad Al-Alimi and senior Saudi officials",https://www.securitycouncilreport.org/whatsinblue/2022/10/yemen-briefing-and-consultations-28.php;https://www.middleeaststar.com/news/272799908/yemeni-leader-un-envoy-meet-to-discuss-truce-renewal;https://www.securitycouncilreport.org/monthly-forecast/2022-12/yemen-49.php,1,M
SUD202209-22,Sudan,625,,unknown,,,,27,9,2022,United States; United Kingdom; Saudi Arabia; UNITAMS; African Union; IGAD; Canada; France; Germany; Italy; Japan; Norway; Spain; Sweden; Switzerland; United Arab Emirates; EU; Netherlands,CON_3;CON_19;CON_419;GP-85;IGO_87;IGO_312;CON_11;CON_7;CON_2;CON_139;CON_294;CON_81;CON_4;CON_593;CON_202;CON_591;IGO_5;CON_10,CON_3;CON_19;CON_419;;IGO_87;IGO_312;CON_11;CON_7;CON_2;CON_139;CON_294;CON_81;CON_4;CON_593;CON_202;CON_591;IGO_5;CON_10,2;200;670;;;;20;220;255;325;740;385;230;380;225;696;;210,18,P,,,Quad; Trilateral Mechanism; Friends of Sudan,,,,0,,0,,,"Separately, an informed source told Asharq Al-Awsat that a meeting including members of the Quartet initiative to resolve the Sudanese crisis was held at the headquarters of the US ambassador in Khartoum on Monday. The meeting was also attended by members of the international tripartite mechanism, which consists of the United Nations Integrated Transition Assistance Mission in Sudan (UNITAMS), the African Union and the Intergovernmental Authority on Development (IGAD), as well as Sudan’s friends, and aims to find solutions to the one-year long stifling political crisis in the country.",https://english.aawsat.com/home/article/3898016/active-regional-int%E2%80%99l-mediations-seek-resolve-sudanese-crisis,0,MR
SUD202209-23,Sudan,625,,Khartoum,SDN,32.5,15.6,27,9,2022,United Kingdom,CON_19,CON_19,200,1,P,indnam430;indnam447,Robert Fairweather; Sarah Montgomery,,Sudanese Armed Forces,127,,1,1,0,,,The officials held separate meetings with UK Special Representative for Sudan and South Sudan Robert Fairweather and UK Special Envoy for the Red Sea and Horn of Africa Sarah Montgomery at the presidential palace on Monday.,https://english.aawsat.com/home/article/3898016/active-regional-int%E2%80%99l-mediations-seek-resolve-sudanese-crisis,0,MR
SUD202209-24,Sudan,625,,Khartoum,SDN,32.5,15.6,27,9,2022,EU,IGO_5,IGO_5,,1,P,indnam56,Annette Weber,,Rapid Support Forces,122,,1,1,0,,,"Vice President of Sudan's Sovereign Council Mohammad Hamdan Dagalo, known as RSF, held talks on Monday with the European Union Special Representative for the Horn of Africa, Annette Weber",https://english.aawsat.com/home/article/3898016/active-regional-int%E2%80%99l-mediations-seek-resolve-sudanese-crisis,0,MR
YEM202209-26,Yemen,678,,Muscat,OMN,58.5922,23.6139,27,9,2022,Oman; OSESG-Yemen,CON_606;IGO_990,CON_606;IGO_990,698;,2,P,indnam186,Hans Grundberg,UN Process,Ansar Allah,NL,,1,1,0,,,"and Muscat on 27 September, where he met senior Omani officials and the chief negotiator of the Houthi rebel group Mohammed Abdulsalam. ; OSESGY: And in the weeks leading up to the 2nd of October, I intensified my discussions with them, conducting several rounds of negotiations in Aden, Sana’a, Riyadh, and Muscat. I subsequently shared a revised proposal with them on the 1st of October.",https://www.securitycouncilreport.org/whatsinblue/2022/10/yemen-briefing-and-consultations-28.php,1,M
YEM202209-27,Yemen,678,,Sanaa,YEM,44.2064,15.3483,28,9,2022,OSESG-Yemen,IGO_990,IGO_990,,1,P,indnam186,Hans Grundberg,UN Process,Ansar Allah,NL,,1,1,0,,,"From 28 to 29 September, Grundberg visited Sana’a, where he met Mahdi Al-Mashat, the Chairman of the Houthis’ Supreme Political Council, among other officials, engaging in “intense discussions on how to pay salaries for civil servants as well as issues around the ports, airport and maintaining calm on the front lines” ; OSESGY: And in the weeks leading up to the 2nd of October, I intensified my discussions with them, conducting several rounds of negotiations in Aden, Sana’a, Riyadh, and Muscat. I subsequently shared a revised proposal with them on the 1st of October.",https://www.securitycouncilreport.org/whatsinblue/2022/10/yemen-briefing-and-consultations-28.php,1,M
YEM202209-28,Yemen,678,,Sanaa,YEM,44.2064,15.3483,30,9,2022,Oman,CON_606,CON_606,698,1,P,,,Oman Process,Ansar Allah,NL,,1,1,0,,,"These efforts were supported by a flurry of other diplomatic engagements, including a 30 September statement by Secretary-General António Guterres urging the Yemeni parties to renew and expand the truce’s terms and duration based on the Special Envoy’s proposal. Oman sent a delegation to Sana’a, as it had done in July ahead of the truce’s last renewal, to help secure an agreement. ; OSESGY: And in the weeks leading up to the 2nd of October, I intensified my discussions with them, conducting several rounds of negotiations in Aden, Sana’a, Riyadh, and Muscat. I subsequently shared a revised proposal with them on the 1st of October.",https://www.securitycouncilreport.org/whatsinblue/2022/10/yemen-briefing-and-consultations-28.php,1,M
YEM202209-29,Yemen,678,,unknown,,,,,9,2022,OSESG-Yemen; United States; Germany,IGO_990;CON_3;CON_2,IGO_990;CON_3;CON_2,;2;255,3,P,indnam186;indnam500;indnam63;indnam387,Hans Grundberg; Timothy Lenderking; Antony Blinken; Olaf Scholz,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"head of Presidential Leadership Council (PLC) Rashad al-Alimi during month met UN Special Envoy for Yemen Hans Grundberg, U.S. Envoy for Yemen Tim Lenderking, U.S. Sec State Antony Blinken and German Chancellor Olaf Scholz",https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,1,M
YEM202210-12,Yemen,678,,Abu Dhabi,ARE,54.3667,24.4667,1,10,2022,OSESG-Yemen; United Arab Emirates,IGO_990;CON_591,IGO_990;CON_591,;696,2,P,indnam186,Hans Grundberg,,,,,0,,0,,,"In the 11 days since the expiration of the truce, I have continued my relentless efforts to engage the parties as well as regional and international partners on options for the renewal of the truce. I have just returned from visits to Abu Dhabi and Muscat where I held important discussions to explore ways forward in close coordination with Yemen’s neighbours.",https://osesgy.unmissions.org/sites/default/files/en_july_unsc_briefing_as_delivered_1.pdf,1,MR
YEM202210-13,Yemen,678,,Muscat,OMN,58.5922,23.6139,1,10,2022,Oman; OSESG-Yemen,CON_606;IGO_990,CON_606;IGO_990,698;,2,P,indnam186,Hans Grundberg,UN Process,,,,0,,0,,,"In the 11 days since the expiration of the truce, I have continued my relentless efforts to engage the parties as well as regional and international partners on options for the renewal of the truce. I have just returned from visits to Abu Dhabi and Muscat where I held important discussions to explore ways forward in close coordination with Yemen’s neighbours.",https://osesgy.unmissions.org/sites/default/files/en_july_unsc_briefing_as_delivered_1.pdf,1,MR
YEM202210-14,Yemen,678,,Dubai,ARE,55.2972,25.2631,2,10,2022,United Arab Emirates; OSESG-Yemen,CON_591;IGO_990,CON_591;IGO_990,696;,2,P,,,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,UN representative and Alimi discuss extension of truce and Houthi opposition to it.,https://www.arabnews.com/node/2173631/middle-east,0,MR
SUD202210-34,Sudan,625,,unknown,,,,11,10,2022,South Sudan,CON_173,CON_173,626,1,P,indnam508,Tut Gatluak,Juba Peace Process,SPLM/A - AH; Misseriya,997;1025,,2+,1,1,Release of nine individuals from the Misseriya community,,"Nine individuals from the Misseriya community who had been in custody of the SPLM-N Abdelaziz al-Hilu faction in South Kordofan since August were released and taken to Juba on 11 October, following mediation by the President of South Sudan.",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf;https://newsghana.com.gh/south-sudan-secures-release-of-sudanese-prisoners-of-war/,0,M
YEM202210-15,Yemen,678,,Riyadh,SAU,46.7167,24.6333,11,10,2022,Saudi Arabia,CON_419,CON_419,670,1,P,indnam273,Khalid Bin Salman,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"KSA, Alimi discuss efforts to renew truce.",https://www.arabnews.com/node/2178851/saudi-arabia,0,MR
SUD202210-35,Sudan,625,,unknown,,,,12,10,2022,United States; United Kingdom; Saudi Arabia; UAE,CON_3;CON_19;CON_419;CON_591,CON_3;CON_19;CON_419;CON_591,2;200;670;696,4,P,,,Quad,Forces for Freedom and Change; Sudanese Armed Forces,NL;127,,2+,1,0,,,"Military and main civilian opposition bloc Forces for Freedom and Change-Central Council (FFC-CC) engaged in talks mediated by “Quad” (U.S., UK, Saudi Arabia and United Arab Emirates) over Sudanese Bar Association’s proposal for draft constitution to restore democratic transition, 12 Oct confirming reaching agreement on several issues.",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=80,0,M
YEM202210-16,Yemen,678,,Riyadh,SAU,46.7167,24.6333,12,10,2022,Saudi Arabia,CON_419,CON_419,670,1,P,,,,Ansar Allah,NL,,1,1,0,,,"Huthi delegation visited Saudi Arabia, to finalise prisoner exchange talks for first time since 2014; both parties reiterated agenda did not include truce.",https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,1,M
YEM202210-17,Yemen,678,,Sanaa,YEM,44.2064,15.3483,12,10,2022,Saudi Arabia,CON_419,CON_419,670,1,P,,,,Ansar Allah,NL,,1,1,0,,,Saudi delegation 12 Oct travelled to Sanaa (Huthis) to finalise prisoner exchange talks for first time since 2014; both parties reiterated agenda did not include truce.,https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,1,M
SUD202210-36,Sudan,625,,Cairo,EGY,31.2358,30.0444,16,10,2022,African Union,IGO_87,IGO_87,,1,P,,,GERD,Ethiopia; Egypt; Sudan,97;117;112,,2+,1,0,,,"This event took place during the fifth Cairo Water Week from October 16 to 19, 2022, in Cairo, Egypt, with the involvement of various international actors including representatives from 70 countries and 66 international organizations. Egypt, demanding international support, and Ethiopia, insisting on an African solution, showcased their differing views on resolving the Grand Ethiopian Renaissance Dam (GERD) dispute, a regional conflict at the heart of the discussions, highlighting the ongoing struggle between the two countries over the management of the Nile River's water resources.",https://english.aawsat.com/home/article/3937691/egypt-demands-intl-support-ethiopia-insists-african-solution-gerd-dispute,0,MR
SUD202210-37,Sudan,625,,unknown,,,,20,10,2022,UNITAMS,GP-85,,,1,P,,,,Rebels (Generic),GLO-PAD,,2+,1,0,,,"Demonstrations held by the Funj tribe in front of the Governor’s office in El Damazin, demanding resignation of the Governor, cancellation of the Juba Peace Agreement, and withdrawal of certain security forces. A delegation from the Blue Nile State native administration and leaders from the Hausa community held separate meetings with government officials and UNITAMS to discuss the causes of the conflict and ways forward",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,0,M
SUD202210-38,Sudan,625,,unknown,,,,24,10,2022,UNITAMS; AU; IGAD,GP-85;IGO_87;IGO_312,;IGO_87;IGO_312,;;,3,P,,,Trilateral Mechanism,Forces for Freedom and Change,NL,,1,1,0,,,"On 10 September, the Sudanese Bar Association presented its draft constitution to the mechanism. On 24 October, the trilateral mechanism received comments from the military based on that preliminary understanding and was asked by the military to launch a structured political process to facilitate negotiations on the remaining differences. ubsequently, the mechanism engaged intensively with the stakeholders to facilitate political talks aimed at reaching a broad-based civilian and military agreement.",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,1,M
SUD202210-39,Sudan,625,,unknown,,,,24,10,2022,UNITAMS; African Union; IGAD,GP-85;IGO_87;IGO_312,;IGO_87;IGO_312,;;,3,P,,,Trilateral Mechanism,Sudanese Armed Forces,127,,1,1,0,,,"On 10 September, the Sudanese Bar Association presented its draft constitution to the mechanism. On 24 October, the trilateral mechanism received comments from the military based on that preliminary understanding and was asked by the military to launch a structured political process to facilitate negotiations on the remaining differences. ubsequently, the mechanism engaged intensively with the stakeholders to facilitate political talks aimed at reaching a broad-based civilian and military agreement.",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,1,M
SUD202210-40,Sudan,625,,unknown,,,,27,10,2022,UNITAMS; UNCT,GP-85;GP-69,;,;,2,P,,,,SPLM/A - AH,997,,1,1,1,Release of two healthcare workers,,"On 27 October, UNITAMS was able to secure the release of two women health-care workers in the custody of that faction and evacuate them from the area under the faction’s control. The operation was supported by members of the United Nations country team",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,0,M
YEM202210-18,Yemen,678,,Muscat,OMN,58.5922,23.6139,29,10,2022,Oman; OSESG-Yemen,CON_606;IGO_990,CON_606;IGO_990,698;,2,P,indnam186,Hans Grundberg,UN Process,Ansar Allah,NL,,1,1,0,,,"Grundberg also travelled to Muscat from 29 to 30 October, meeting senior Omani officials and the chief negotiator of the Houthi rebel group, Mohammed Abdulsalam.",https://www.securitycouncilreport.org/whatsinblue/2022/11/yemen-briefing-and-consultations-29.php,1,M
YEM202210-19,Yemen,678,,Riyadh,SAU,46.7167,24.6333,,10,2022,OSESG-Yemen; China; France; United Kingdom; United States; Russia,IGO_990;CON_20;CON_7;CON_19;CON_3;CON_21,IGO_990;CON_20;CON_7;CON_19;CON_3;CON_21,;710;220;200;2;365,6,P,indnam186,Hans Grundberg,UN Process,,,,0,,0,,,"Since last briefing the Council on 13 October, the Special Envoy has met with diplomats from the Security Council’s five permanent members (China, France, Russia, the UK, and the US).",https://www.securitycouncilreport.org/whatsinblue/2022/11/yemen-briefing-and-consultations-29.php,0,MR
YEM202210-20,Yemen,678,,Riyadh,SAU,46.7167,24.6333,,10,2022,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam186,Hans Grundberg,UN Process,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"Since last briefing the Council on 13 October, the Special Envoy has visited Riyadh twice, meeting with Yemeni government and Saudi officials, as well as diplomats from the Security Council’s five permanent members (China, France, Russia, the UK, and the US).",https://www.securitycouncilreport.org/whatsinblue/2022/11/yemen-briefing-and-consultations-29.php,1,M
SUD202211-37,Sudan,625,,unknown,,,,2,11,2022,African Union,IGO_87,IGO_87,,1,P,,,Trilateral Mechanism,,,,0,,0,,,"AU Special Envoy for Sudan Mohamed Belaiche 2 Nov denounced “external interference” in Trilateral Mechanism by Quad countries, whom he accused of publicly supporting trilateral process while undermining it through parallel negotiation process. Remarks point to breakdown between Quad and Trilateral process in coordination on Sudan. Quad countries say their initiative supports Trilateral Mechanism since FFC-military disagreement was primary obstacle when trilateral negotiations stalled in June.",https://www.crisisgroup.org/crisiswatch/database?location%5B%5D=80,0,MR
YEM202211-16,Yemen,678,,Riyadh,SAU,46.7167,24.6333,2,11,2022,United States; Saudi Arabia; United Arab Emirates,CON_3;CON_419;CON_591,CON_3;CON_419;CON_591,2;670;696,3,P,indnam500,Timothy Lenderking,,Yemen (2022-) Presidential Leadership Council,ACLED,,1,1,0,,,"U.S. Envoy for Yemen Timothy Lenderking 2-8 Nov visited Saudi Arabia and United Arab Emirates to meet Saudi, Emirati and govt officials.",https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,0,MR
SUD202211-38,Sudan,625,,Sudan,SDN,30,15,4,11,2022,United Arab Emirates; United Kingdom; United States; Saudi Arabia,CON_591;CON_19;CON_3;CON_419,CON_591;CON_19;CON_3;CON_419,696;200;2;670,4,P,,,QUAD,Forces for Freedom and Change,NL,,1,1,0,,,"Sudan's military leaders have submitted notes on a draft constitution as a basis for talks under international mediation, signaling an easing of a year-long political deadlock, with the aim of establishing a transitional civilian-led authority and restarting reforms amidst opposition from various factions.",https://wkzo.com/2022/11/04/sudanese-factions-break-deadlock-with-talks-over-draft-constitution/;https://english.aawsat.com/home/article/3969531/sudanese-factions-break-deadlock-talks-over-draft-constitution,1,M
SUD202211-39,Sudan,625,,Sudan,SDN,30,15,4,11,2022,UAE; United Kingdom; United States; Saudi Arabia,CON_591;CON_19;CON_3;CON_419,CON_591;CON_19;CON_3;CON_419,696;200;2;670,4,P,,,Quad,Sudanese Armed Forces,127,,1,1,0,,,"Sudan's military leaders have submitted notes on a draft constitution as a basis for talks under international mediation, signaling an easing of a year-long political deadlock, with the aim of establishing a transitional civilian-led authority and restarting reforms amidst opposition from various factions.",https://wkzo.com/2022/11/04/sudanese-factions-break-deadlock-with-talks-over-draft-constitution/;https://english.aawsat.com/home/article/3969531/sudanese-factions-break-deadlock-talks-over-draft-constitution,1,M
SUD202211-40,Sudan,625,,Sudan,SDN,30,15,4,11,2022,United Arab Emirates; United Kingdom; United States; Saudi Arabia,CON_591;CON_19;CON_3;CON_419,CON_591;CON_19;CON_3;CON_419,696;200;2;670,4,P,,,QUAD,Sudan Revolutionary Front,NL,,1,1,0,,,"Sudan's military leaders have submitted notes on a draft constitution as a basis for talks under international mediation, signaling an easing of a year-long political deadlock, with the aim of establishing a transitional civilian-led authority and restarting reforms amidst opposition from various factions.",https://wkzo.com/2022/11/04/sudanese-factions-break-deadlock-with-talks-over-draft-constitution/;https://english.aawsat.com/home/article/3969531/sudanese-factions-break-deadlock-talks-over-draft-constitution,1,M
YEM202211-17,Yemen,678,,Riyadh,SAU,46.7167,24.6333,7,11,2022,OSESG-Yemen; Saudi Arabia; China; France; United Kingdom; United States; Russia,IGO_990;CON_419;CON_20;CON_7;CON_19;CON_3;CON_21,IGO_990;CON_419;CON_20;CON_7;CON_19;CON_3;CON_21,;670;710;220;200;2;365,7,P,indnam186;indnam350,Hans Grundberg; Mohammed Al-Jaber,UN Process,,,,0,,0,,," On 7 November, he concluded a second visit to Riyadh, meeting with Saudi Arabia’s ambassador to Yemen, Mohamed Al Jabir, and P5 diplomats. Grundberg did not announce any breakthroughs following these visits., N Special Envoy to Yemen Hans Grundberg 7 Nov concluded visit to Saudi capital Riyadh, where he met Saudi ambassador to Yemen who is reportedly prominently involved in back-channel talks.",https://www.securitycouncilreport.org/monthly-forecast/2022-12/yemen-49.php;https://www.crisisgroup.org/crisiswatch/database?location_region%5B%5D=81&location%5B%5D=90&crisis_state=&created=custom&from_month=1&from_year=2022&to_month=12&to_year=2022,0,MR
SUD202211-41,Sudan,625,,unknown,,,,16,11,2022,UNITAMS; African Union; IGAD; United States; United Kingdom; Saudi Arabia; UAE,GP-85;IGO_87;IGO_312;CON_3;CON_19;CON_419;CON_591,;IGO_87;IGO_312;CON_3;CON_19;CON_419;CON_591,;;;2;200;670;696,7,P,,,Quad; Trilateral Mechanism,Sudanese Armed Forces; Forces for Freedom and Change,127; NL,,2+,1,0,,,"Main civilian opposition bloc Forces for Freedom and Change-Central Council (FFC-CC) 16 Nov announced they had reached “framework agreement” with military on most critical issues to restore democratic transition; dialogue officially mediated by Trilateral Mechanism led by UN mission in Sudan (UNITAMS), African Union (AU), and Intergovernmental Authority on Development also quietly facilitated by Quad countries (U.S., UK, United Arab Emirates and Saudi Arabia). Parties consented to second phase of negotiations to resolve outstanding issues and produce final deal.",https://www.dabangasudan.org/en/all-news/article/ffc-80-in-agreement-with-sudan-military-but-criticises-el-burhan-s-political-manoeuvring;https://sudantribune.com/article267004/,0,M
SUD202211-42,Sudan,625,,Kassala,SDN,36.4,15.45,17,11,2022,UNITAMS; African Union; IGAD,GP-85;IGO_87;IGO_312,;IGO_87;IGO_312,;;,3,P,,,Trilateral Mechanism,Civil Society (Default),GLO-PAD,,2+,,0,,,The United Nations-African Union-IGAD trilateral mechanism visited Kassala to engage Eastern stakeholders on the political process and priorities for the East.,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2271780.pdf,0,MR
SUD202211-43,Sudan,625,,unknown,,,,22,11,2022,UNITAMS,GP-85,,,1,P,,,,Women's Group (Default),GLO-PAD,,1,,0,,,"On 22 November, the Mission launched an initiative of state-level consultations on women’s priorities for the transition, which will contribute to building a national women’s agenda. The consultations began in Khartoum and will be held in each state, with 80 women from diverse backgrounds. Moreover, consultations took place between women from the Eastern region and the trilateral mechanism on 23 November, during which women shared their priorities and proposals on a sustainable agreement.",https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/N2305185.pdf,0,MR
SUD202211-44,Sudan,625,,Khartoum,SDN,32.5,15.6,25,11,2022,UNITAMS; African Union; IGAD,GP-85;IGO_87;IGO_312,;IGO_87;IGO_312,;;,3,P,,,Trilateral Mechanism,Forces for Freedom and Change; Sudanese Armed Forces,NL;127,,2+,1,0,,,"The event revolves around the preparation of a draft framework agreement by the FFC to present to Sudan's military junta, aiming to achieve an accord within the civilian forces about restoring the civilian transition in Sudan, addressing issues such as political detainees, freedom of expression, and the restoration of trade unions, amidst differing opinions and resistance from certain rebel leaders and political parties.",https://www.dabangasudan.org/en/all-news/article/sudan-s-ffc-hold-crucial-meeting-on-agreement-with-military-junta;https://allafrica.com/stories/202211280034.html,0,M
